nse_symbol,yahoo_symbol,stock_name,industry
NSE:CESC-EQ,CESC.NS,CESC Ltd.,Power
NSE:CGPOWER-EQ,CGPOWER.NS,CG Power and Industrial Solutions Ltd.,Capital Goods
NSE:CIEINDIA-EQ,CIEINDIA.NS,CIE Automotive India Ltd.,Automobile and Auto Components
NSE:CRISIL-EQ,CRISIL.NS,CRISIL Ltd.,Financial Services
NSE:CANFINHOME-EQ,CANFINHOME.NS,Can Fin Homes Ltd.,Financial Services
NSE:CANBK-EQ,CANBK.NS,Canara Bank,Financial Services
NSE:CANHLIFE-EQ,CANHLIFE.NS,Canara HSBC Life Insurance Company Ltd.,Financial Services
NSE:CAPLIPOINT-EQ,CAPLIPOINT.NS,Caplin Point Laboratories Ltd.,Healthcare
NSE:CGCL-EQ,CGCL.NS,Capri Global Capital Ltd.,Financial Services
NSE:CARBORUNIV-EQ,CARBORUNIV.NS,Carborundum Universal Ltd.,Capital Goods
NSE:CARTRADE-EQ,CARTRADE.NS,Cartrade Tech Ltd.,Consumer Services
NSE:CASTROLIND-EQ,CASTROLIND.NS,Castrol India Ltd.,Oil Gas & Consumable Fuels
NSE:CEATLTD-EQ,CEATLTD.NS,Ceat Ltd.,Automobile and Auto Components
NSE:CEMPRO-EQ,CEMPRO.NS,Cemindia Projects Ltd.,Construction
NSE:CENTRALBK-EQ,CENTRALBK.NS,Central Bank of India,Financial Services
NSE:CDSL-EQ,CDSL.NS,Central Depository Services (India) Ltd.,Financial Services
NSE:CHALET-EQ,CHALET.NS,Chalet Hotels Ltd.,Consumer Services
NSE:CHAMBLFERT-EQ,CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Ltd.,Chemicals
NSE:CHENNPETRO-EQ,CHENNPETRO.NS,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
NSE:CHOICEIN-EQ,CHOICEIN.NS,Choice International Ltd.,Financial Services
NSE:CHOLAHLDNG-EQ,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.,Financial Services
NSE:CHOLAFIN-EQ,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,Financial Services
NSE:CIPLA-EQ,CIPLA.NS,Cipla Ltd.,Healthcare
NSE:CUB-EQ,CUB.NS,City Union Bank Ltd.,Financial Services
NSE:CLEAN-EQ,CLEAN.NS,Clean Science and Technology Ltd.,Chemicals
NSE:COALINDIA-EQ,COALINDIA.NS,Coal India Ltd.,Oil Gas & Consumable Fuels
NSE:COCHINSHIP-EQ,COCHINSHIP.NS,Cochin Shipyard Ltd.,Capital Goods
NSE:COFORGE-EQ,COFORGE.NS,Coforge Ltd.,Information Technology
NSE:COHANCE-EQ,COHANCE.NS,Cohance Lifesciences Ltd.,Healthcare
